RELATÓRIO DE EVOLUÇÃO - Procedimentos Odontológicos preventivos
Equipes: eSB
Competências: ABR/25, AGO/25, DEZ/25

==================================================
RESUMO DAS VARIAÇÕES
==================================================
ABR_25: Média de pontuação = 47.93
AGO_25: Média de pontuação = 47.70
DEZ_25: Média de pontuação = 46.35

% de crescimento entre 2025-04 e 2025-08: 9.79%
% de crescimento entre 2025-08 e 2025-12: 8.86%

Crescimento total médio: 9.03%

==================================================
TOP 5 - MAIOR CRESCIMENTO
==================================================
  ESB 05 - UBS 02 TAG (INE: 0002456397): 613.08%
  ESB 01 - UBS 06 TAG (INE: 0001923544): 605.66%
  ESB AMIZADE (INE: 0002203081): 275.38%
  ESB 02 - UBS 05 SAM (INE: 0002064243): 246.64%
  ESB 01 - UBS 02 TAG (INE: 0001918621): 174.06%

==================================================
TOP 5 - MENOR CRESCIMENTO
==================================================
  ESB 02 - UBS 03 REC (INE: 0001925172): -100.00%
  ESB CRISTAL (INE: 0002062666): -100.00%
  ESB 01 - UBS 12 SAM (INE: 0001924753): -100.00%
  ESB 03 UBS 02 GUARA (INE: 0002117479): -100.00%
  ESB DELTA (INE: 0002447584): -100.00%


==================================================
DADOS COMPLETOS
==================================================

ESTABELECIMENTO;INE;NOME DA EQUIPE;PONT_ABR_25;PONT_AGO_25;PONT_DEZ_25;VAR_1_2_%;VAR_2_3_%;CRESCIMENTO_TOTAL_%
UBS 02 ESTRUTURAL;0002322129;ESB 02 UBS 02 ESTRUTURAL;39.6;42.38;37.13;7.02;-12.39;-6.24
UBS 2 SOBRADINHO;0002062666;ESB CRISTAL;67.32;100.0;0.0;48.54;-100.0;-100.0
UBS 06 SAMAMBAIA;0001924400;ESB 01 - UBS 06 SAM;50.62;47.8;47.6;-5.57;-0.42;-5.97
UBS 1 PLANALTINA;0002062887;ESB MICO-LEAO-DOURADO;0.0;0.0;0.0;0.0;0.0;0.0
UBS 1 ITAPOA;0001909851;ESB 2 ITAPOA;14.68;40.0;37.67;172.48;-5.82;156.61
UBS 4 ROTA DO CAVALO SOBRADINHO;0002062704;ESB HARAS DO SOL;81.82;69.94;97.56;-14.52;39.49;19.24
UBS 20 PLANALTINA;0002422417;ESB SIGMA;100.0;52.98;85.07;-47.02;60.57;-14.93
UBS 2 PLANALTINA;0002062909;ESB AZALEIA;66.95;91.59;100.0;36.8;9.18;49.37
UBS 03 RECANTO DAS EMAS;0001925628;ESB 07 - UBS 03 REC;70.97;57.0;39.23;-19.68;-31.18;-44.72
UBS 17 CEILANDIA;0002019191;ESB 38;65.06;55.36;86.09;-14.91;55.51;32.32
UBS 1 SANTA MARIA;0002125366;0027/40;73.61;68.4;56.08;-7.08;-18.01;-23.81
UBS 20 PLANALTINA;0002063093;ESB GAMA;81.25;55.65;53.06;-31.51;-4.65;-34.7
UBS 05 SAMAMBAIA;0002335646;ESB 05 - UBS 05 SAM;36.51;26.51;33.64;-27.39;26.9;-7.86
UBS 01 VICENTE PIRES;0002307367;ESB 04 - UBS 01 VP;21.86;20.39;19.8;-6.72;-2.89;-9.42
UBS 16 CEILANDIA;0002272881;ESB 56;50.27;53.3;42.66;6.03;-19.96;-15.14
UBS 1 GAMA;0001879979;0252/40;100.0;38.84;60.0;-61.16;54.48;-40.0
UBS 2 PLANALTINA;0002062917;ESB DALIA;97.41;97.55;100.0;0.14;2.51;2.66
UBS 01 PARK WAY;0002117894;ESB 01 UBS 01 PARK WAY;44.35;31.09;26.09;-29.9;-16.08;-41.17
UBS 2 SANTA MARIA;0001879448;0540/20;100.0;100.0;100.0;0.0;0.0;0.0
UBS 2 SANTA MARIA;0001879693;00551/32;78.81;76.13;15.0;-3.4;-80.3;-80.97
