RELATÓRIO DE EVOLUÇÃO - Hipertensão
Equipes: eAP, eSF
Competências: ABR/25, AGO/25, DEZ/25

==================================================
RESUMO DAS VARIAÇÕES
==================================================
ABR_25: Média de pontuação = 57.53
AGO_25: Média de pontuação = 58.70
DEZ_25: Média de pontuação = 58.75

% de crescimento entre 2025-04 e 2025-08: 2.48%
% de crescimento entre 2025-08 e 2025-12: 0.34%

Crescimento total médio: 2.80%

==================================================
TOP 5 - MAIOR CRESCIMENTO
==================================================
  ESF 57 - CEU AZUL (INE: 0002533219): 100.00%
  EQUIPE 05 - AZUL (INE: 0001669109): 70.87%
  EQUIPE 2 (INE: 0000468479): 70.84%
  EQUIPE 3 LAGO SUL (INE: 0002504723): 55.10%
  ESF 38 ROSA - UBS 08 SAM (INE: 0000471011): 53.72%

==================================================
TOP 5 - MENOR CRESCIMENTO
==================================================
  ESF 0352/16 - CEP SAUDE (INE: 0000469866): -21.44%
  0538/21 (INE: 0001668579): -20.83%
  ESF EQ 11 - VERDE (INE: 0001668951): -19.23%
  ESF 09 ROSA - UBS 01 VP (INE: 0002347229): -19.17%
  ESF 06 AMARELA - UBS 01 VP (INE: 0001805568): -19.10%


==================================================
DADOS COMPLETOS
==================================================

ESTABELECIMENTO;INE;NOME DA EQUIPE;PONT_ABR_25;PONT_AGO_25;PONT_DEZ_25;VAR_1_2_%;VAR_2_3_%;CRESCIMENTO_TOTAL_%
UBS 6 CEILANDIA;0002235188;EQUIPE 6 - VIOLETA;60.4;61.9;61.54;2.48;-0.58;1.89
UBS 3 CEILANDIA;0000468819;EQUIPE 4 - VERMELHA;57.77;60.04;56.3;3.93;-6.23;-2.54
UBS 01 GUARA;0001670549;ESF 03 - UBS 01 GUARA;65.08;62.28;66.18;-4.3;6.26;1.69
UBS 19 VILA DO BOA SAO SEBASTIAO;0000471399;ESF EQ 14 - VILA DO BOA;55.25;57.27;60.95;3.66;6.43;10.32
UBS 5 GAMA;0001609483;0244/23;50.09;52.81;51.89;5.43;-1.74;3.59
UBS 07 TAGUATINGA;0001843567;ESF 03 VERDE - UBS 07 TAG;66.82;62.46;62.71;-6.52;0.4;-6.15
UBS 4 CEILANDIA;0001664972;EQUIPE 1 - VERDE;47.03;48.3;53.82;2.7;11.43;14.44
UBS 1 GAMA;0001573705;0213/11;61.39;58.63;60.24;-4.5;2.75;-1.87
UBS 02 ESTRUTURAL;0001469592;ESF 08 - UBS 02 ESTRUTURAL;51.23;56.46;59.14;10.21;4.75;15.44
UBS 2 CRUZEIRO;0001670247;EQUIPE CALIANDRA;59.11;54.31;53.13;-8.12;-2.17;-10.12
UBS 01 NUCLEO BANDEIRANTE;0001670425;ESF 04 - UBS 01 NB;60.5;59.74;60.81;-1.26;1.79;0.51
UBS 6 CARIRU PARANOA;0000469424;ESF EQ 04 - CARIRU;74.74;72.99;62.5;-2.34;-14.37;-16.38
UBS 8 SANTA MARIA;0000471038;0519/02;58.11;61.14;63.24;5.21;3.43;8.83
UBS 15 CEILANDIA;0000468657;EQUIPE 1 - VERMELHA;52.83;53.89;56.44;2.01;4.73;6.83
UBS 03 GUARA;0001670522;ESF 06 - UBS 03 GUARA;59.25;63.05;58.58;6.41;-7.09;-1.13
UBS 11 CEILANDIA;0001665103;EQUIPE 3 - ROSA;54.01;60.62;62.06;12.24;2.38;14.9
UBS 3 PLANALTINA;0000469866;ESF 0352/16 - CEP SAUDE;58.43;53.44;45.9;-8.54;-14.11;-21.44
UBS 01 NUCLEO BANDEIRANTE;0001670433;ESF 05 - UBS 01 NB;52.4;52.36;53.59;-0.08;2.35;2.27
UBS 6 GAMA;0001616420;0217/32;55.38;54.41;58.8;-1.75;8.07;6.18
UBS 2 SOBRADINHO;0001616404;ESF 0602/12 - TURQUESA - SOB;48.47;48.96;49.87;1.01;1.86;2.89
UBS 7 JARDIM RORIZ PLANALTINA;0000469696;ESF 0376/40- BORBOLETA AMARELA;50.4;49.56;50.58;-1.67;2.06;0.36
UBS 7 MORRO DA CRUZ SAO SEBASTIAO;0000471437;ESF EQ 02 - MORRO DA CRUZ;63.25;62.74;56.51;-0.81;-9.93;-10.66
UBS 12 SAMAMBAIA;0000470589;ESF 23 VERDE - UBS 12 SAM;53.86;60.15;60.2;11.68;0.08;11.77
UBS 08 SAMAMBAIA;0000471011;ESF 38 ROSA - UBS 08 SAM;36.32;46.84;55.83;28.96;19.19;53.72
UBS 1 ITAPOA;0000469505;ESF EQ 07 - ROSA;54.55;55.16;61.96;1.12;12.33;13.58
UBS 02 SAMAMBAIA;0000470856;ESF 27 AZUL - UBS 02 SAM;64.7;61.63;63.35;-4.74;2.79;-2.09
UBS 9 SANTA MARIA;0000471062;0523/06;54.49;55.54;58.36;1.93;5.08;7.1
UBS 2 ITAPOA;0002416735;ESF ESMERALDA;62.06;60.29;57.64;-2.85;-4.4;-7.12
UBS 02 ESTRUTURAL;0002493276;ESF 13 - UBS 02 ESTRUTURAL;74.49;69.81;60.78;-6.28;-12.94;-18.41
UBS 04 SAMAMBAIA;0001623265;ESF 53 LARANJA - UBS 04 SAM;55.8;54.97;57.69;-1.49;4.95;3.39
UBS 12 PONTE ALTA GAMA;0002429233;1242/78;74.48;68.97;70.53;-7.4;2.26;-5.3
UBS 01 SAMAMBAIA;0000470538;ESF 16 LARANJA - UBS 01 SAM;58.1;59.28;52.45;2.03;-11.52;-9.72
UBS 1 CRUZEIRO;0001670204;EQUIPE BURITI;69.07;64.95;64.26;-5.96;-1.06;-6.96
UBS 3 LOBEIRAL FERCAL;0000471593;ESF 0610/02 - LOBEIRA;62.19;63.12;62.24;1.5;-1.39;0.08
UBS 05 RIACHO FUNDO II;0002268817;ESF 17 UBS 05 RIACHO FUNDO II;63.1;60.29;62.23;-4.45;3.22;-1.38
UBS 5 CEILANDIA;0001665243;EQUIPE 1 - VERMELHA;55.19;57.78;59.4;4.69;2.8;7.63
UBS 01 AGUAS CLARAS;0001709828;ESF 07 ROXA - UBS 01 AC;57.37;59.04;57.96;2.91;-1.83;1.03
UBS 11 PONTE ALTA NORTE GAMA;0001620932;0223/38;60.24;55.34;57.7;-8.13;4.26;-4.22
UBS 02 TAGUATINGA;0000471704;ESF 01 ROXA - UBS 02 TAG;64.37;67.27;66.92;4.51;-0.52;3.96
UBS 9 ENGENHO DAS LAGES GAMA;0000469130;0205/03;65.2;65.5;66.79;0.46;1.97;2.44
UBS 1 ITAPOA;0001642030;ESF EQ 14 - AMARELA;61.36;58.75;55.34;-4.25;-5.8;-9.81
UBS 3 GAMA;0001617796;0218/33;75.19;78.37;73.44;4.23;-6.29;-2.33
UBS 7 JARDIM RORIZ PLANALTINA;0000469688;ESF 0375/39- BORBOLETA LARANJA;39.93;37.91;43.02;-5.06;13.48;7.74
UBS 12 BICA DO DER PLANALTINA;0000469734;ESF 0337/04 - BICA DO DER;55.87;56.22;57.24;0.63;1.81;2.45
UBS 03 TAGUATINGA;0000471712;ESF 06 VERDE - UBS 03 TAG;70.83;60.31;62.89;-14.85;4.28;-11.21
UBS 02 SAMAMBAIA;0000470872;ESF 31 AMARELA - UBS 02 SAM;62.02;59.93;58.92;-3.37;-1.69;-5.0
UBS 2 SANTA MARIA;0001528041;0530/13;62.13;61.35;54.09;-1.26;-11.83;-12.94
UBS 03 GUARA;0001800140;ESF 01 - UBS 03 GUARA;64.59;62.72;60.12;-2.9;-4.15;-6.92
UBS 2 ASA NORTE;0001670158;EQUIPE VERDE;64.94;60.76;65.4;-6.44;7.64;0.71
UBS 20 PLANALTINA;0002507501;ESF 56 - GAMA;70.45;67.67;61.93;-3.95;-8.48;-12.09
UBS 18 CAIC BERNARDO SAYAO;0000468762;EQUIPE 1;71.9;73.37;66.93;2.04;-8.78;-6.91
